CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,IS_CASH,NOTAS
COMPRA TORTAS Y REFRESCOS P1,932,P001,PRODUCCION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,true,
VIATICOS A SLP ABELARDO P4,500,P004P,ADMINISTRACION,9,Viáticos,DIRECTO,true,
PAGO DE TRASLADO DE CAMIONES SAFE,6000,gen,ADMINISTRACION,2,Traslado de Equipos,DISTRIBUIR_VOLUMEN,true,
APOYO A OPERADORES DE P1 A P5,1200,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,true,
RENTA CAMPAMENTO P5,7500,P005,ADMINISTRACION,4,Renta de Inmuebles,DIRECTO,true,
REP CAJA P5 MARIO PEREZ,2665.5,P005,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
REP CAJA P4 MARIO PEREZ,10143,P004P,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
VIATICOS A SLP ABELARDO P4,500,P004P,ADMINISTRACION,9,Viáticos,DIRECTO,true,
GASTOS CUMPULSA LIC ANTONIO ASUNTO CONDUSEF,5000,gen,ADMINISTRACION,14,Otros Gastos Varios,DISTRIBUIR_VOLUMEN,true,
PAGO GRUA TRASLADO PIPA P5,9000,P005,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,true,
DADIVA POR inspección federal de carga,15000,gen,ADMINISTRACION,13,Impuestos Locales,DISTRIBUIR_VOLUMEN,true,
MANO DE OBRA DIACE P5,11500,P005,PRODUCCION,14,Otros Gastos Varios,DIRECTO,true,
TARIFA NOTARIA 6 SAN FELIPE  COMTRATOS CEMEX Y PROMEXMA,238886.04,gen,ADMINISTRACION,5,Honorarios y Asesorías,DISTRIBUIR_VOLUMEN,true,
APOYO OMAR AUCEDO BOMBA PLUMA P5,4200,P005,PRODUCCION,1,"Servicios de Producción (Bombeo, Grúa)",DIRECTO,true,
REPOSICION DE CAJA DE P4,2807,P004P,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
REPOSICION DE CAJA DE P5,7310.59,P005,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
ABONO HONORARIOS LIC CASTILLO ASUNTO LANTANA,50000,P001,ADMINISTRACION,5,Honorarios y Asesorías,DIRECTO,true,
SISTEMA DESPACHADOR DE UREA Y CUENTA LITROS P5,16000,P005,MANTENIMIENTO,1,"Materiales de Producción (Urea, Concreto, Materiales Pétreos)",DIRECTO,true,
RENTA DEPTO HECTOR MORALES VILLA DE REYES P5,3000,P005,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
HOTEL VILLA DEL CARBON P2,1300,P002,ADMINISTRACION,4,Renta de Inmuebles,DIRECTO,true,
VIATICOS SANTIAGO DIAZ,500,gen,ADMINISTRACION,9,Viáticos,DISTRIBUIR_VOLUMEN,true,
ALMUERZO P1 ENTRADA TEMPRANO,1206,P001,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,true,
ALMUERZO P1 ENTRADA TEMPRANO,1079,P001,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,true,
RENTA DE MAYO TERRENO LAVADO DE OLLAS P1,5000,P001,ADMINISTRACION,4,Renta de Terrenos,DIRECTO,true,
REPOSICION DE CJA DE P4,2807,P004P,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
